target,sample,experiment,vaf,gc_content_whole,gc_content_10bp
BCOR,CLL8,FRPtest8,0.188,56,58
CDKN1B,CLL8,FRPtest8,0.15,68,73
CHEK2,CLL8,FRPtest8,0.285,40,48
FBXW7,CLL8,FRPtest8,0.349,38,29
HNRNPK,CLL8,FRPtest8,0.285,44,43
IDH2_Mut1,CLL8,FRPtest8,0.161,62,67
IDH2_Mut2,CLL8,FRPtest8,0.077,62,67
NOTCH1,CLL8,FRPtest8,0.284,68,73
NRAS,CLL8,FRPtest8,0.269,54,57
